permit_type,permit_code,is_food,is_umbrella
Child and Adult Care Food Program,TEXT,True,False
H03 - RETAIL MKTS W/O PREP (UNDER 5001),H03,True,False
H03R - RETAIL MKTS W/O PREP (UNDER 5001),H03,True,False
H04 - RETAIL MKTS W/O PREP (5001 - 10000),H04,True,False
H04R - RETAIL MKTS W/O PREP (5001 - 10000),H04,True,False
H05 - RETAIL MKTS W/O PREP (10001 - 20000),H05,True,False
H05R - RETAIL MKTS W/O PREP (10001 - 20000),H05,True,False
H06 - RETAIL MKTS W/O PREP (OVER 20000),H06,True,False
H06R - RETAIL MKTS W/O PREP (OVER 20000),H06,True,False
H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001),H07,True,False
H07R - RETAIL MKTS W/FOOD PREP (UNDER 5001),H07,True,False
H08 - RETAIL MKTS W/FOOD PREP (10001 - 20000),H08,True,False
H08R - RETAIL MKTS W/FOOD PREP (10001 - 20000),H08,True,False
H09 - RETAIL MKTS W/FOOD PREP (5001 - 10000),H09,True,False
H09R - RETAIL MKTS W/FOOD PREP (5001 - 10000),H09,True,False
H101 - Community Event Food Vendor - Low Hazard,H101,True,True
H102 - Community Event Food Vendor - High Hazard,H102,True,True
H14 - CERTIFIED FARMERS MARKETS,H14,True,True
H15 - WHOLESALE FOOD MARKETS,H15,True,False
H15R - WHOLESALE FOOD MARKETS,H15,True,False
H18 - WHOLESALE FOOD MARKETS,H18,True,False
H21 - WHOLESALE FOOD MARKETS,H21,True,False
H21R - WHOLESALE FOOD MARKETS,H21,True,False
H22 - FOOD MANUFACTURING/PROCESSING,H22,True,False
H23 - FOOD PREP AND SERVICE (FEE EXEMPT),H23,True,False
H23R- FOOD PREP AND SERVICE (FEE EXEMPT),H23,True,False
"H24 - RESTAURANT UNDER 1,000 SQFT",H24,True,False
"H24R - RESTAURANT UNDER 1,000 SQFT",H24,True,False
"H25 - RESTAURANT 1,000 - 2,000 SQFT",H25,True,False
"H25R - RESTAURANT 1,000 - 2,000 SQFT",H25,True,False
"H26 - RESTAURANT OVER 2,000 SQFT",H26,True,False
"H26R - RESTAURANT OVER 2,000 SQFT",H26,True,False
H28 - TAKE-OUTS,H28,True,False
H28R - TAKE-OUTS,H28,True,False
H29 - FAST FOOD OUTLETS,H29,True,False
H29R - FAST FOOD OUTLETS,H29,True,False
H30 - CATERING FACILITIES,H30,True,False
H30R - CATERING FACILITIES,H30,True,False
H31 - TOBACCO SALES - ANNUAL LICENSE FEE,H31,False,False
H33 - COMMISSARIES,H33,True,False
H33R - COMMISSARIES,H33,True,False
H34 - PUSHCARTS (RETAIL FOOD VEHICLE),H34,True,False
H36 - STADIUM CONCESSIONS (PERM),H36,True,False
H36R - STADIUM CONCESSIONS (PERM),H36,True,False
H37 - BED AND BREAKFAST,H37,True,False
H40 - HOSPITAL KITCHENS,H40,True,False
H42 - PET SHOP - OVERNIGHT,H42,False,False
H43 - PET HOSPITAL - OVERNIGHT,H43,False,False
H44 - DOG KENNEL - OVERNIGHT,H44,False,False
H46 - AUTOMATIC LAUNDRY - FACILITIES,H46,False,False
H48 - WASH LAUNDRIES,H48,False,False
H56 - SWIMMING POOLS (YEAR-ROUND),H56,False,False
H61 - VENDING MACHINES - COMPANIES,H61,True,False
H61R - VENDING MACHINES - COMPANIES,H61,True,False
H67 - MASSAGE ESTABLISHMENT,H67,False,False
H68 - GENERAL MASSAGE PRACTITIONER,H68,False,False
H69 - OUTCALL MASSAGE SERVICE,H69,False,False
H70 - SOLO MASSAGE ESTABLISHMENT,H70,False,False
H74 - CATERER,H74,True,False
H74R - CATERER,H74,True,False
H75 - MOBILE FOOD FACILITY CLASS 1,H75,True,False
H76 - MOBILE FOOD FACILITY CLASS 2,H76,True,False
H77 - MOBILE FOOD FACILITY CLASS 3,H77,True,False
H78 - MOBILE FOOD FACILITY CLASS 4,H78,True,False
H79 - MOBILE FOOD FACILITY CLASS 5,H79,True,False
H79R - MOBILE FOOD FACILITY CLASS 5,H79,True,False
H80 - SUPERMARKETS W/2-3 FOOD PREP,H80,True,False
H81 - SUPERMARKETS W/4+ FOOD PREP,H81,True,False
H81R - SUPERMARKETS W/4+ FOOD PREP,H81,True,False
"H83 - SUPERMARKETS GREATER THAN 20,000 SQFT W/1 FOOD PREP",H83,True,False
H84 - EMPLOYEE CAFETERIAS W/FOOD PREP,H84,True,False
H84R - EMPLOYEE CAFETERIAS W/FOOD PREP,H84,True,False
H85 - EMPLOYEE CAFETERIA LIMITED FOOD PREP,H85,True,False
H85R - EMPLOYEE CAFETERIA LIMITED FOOD PREP,H85,True,False
H86 - BARS/TAVERNS W/O FOOD PREP,H86,True,False
H86R - BARS/TAVERNS W/O FOOD PREP,H86,True,False
H87 - BARS/TAVERNS W/FOOD PREP,H87,True,False
H87R- BARS/TAVERNS W/FOOD PREP,H87,True,False
H88 - RETAIL BAKERIES WITH FOOD PREP,H88,True,False
H88R - RETAIL BAKERIES WITH FOOD PREP,H88,True,False
H89 - RETAIL BAKERIES W/O FOOD PREP,H89,True,False
H89R - RETAIL BAKERIES W/O FOOD PREP,H89,True,False
H90 - SCHOOL CAFETERIAS (PRIVATE W/O FOOD PREP),H90,True,False
H91 - SCHOOL CAFETERIAS (PRIVATE W/FOOD PREP),H91,True,False
H91R - SCHOOL CAFETERIAS (PRIVATE W/FOOD PREP),H91,True,False
H98 - COTTAGE FOOD OPERATIONS - TIER A (DIRECT SALES),H98,True,False
H98R - COTTAGE FOOD OPERATIONS - TIER A (DIRECT SALES),H98,True,False
H99 - COTTAGE FOOD OPERATIONS - TIER B (INDIRECT SALES),H99,True,False
H99R - COTTAGE FOOD OPERATIONS - TIER B (INDIRECT SALES),H99,True,False
